,0,1
476,148252,DIRAS1
477,79369,B3GNT4
478,55799,CACNA2D3
479,7036,TFR2
480,4440,MSI1
481,388336,SHISA6
482,4284,MIP
483,5521,PPP2R2B
484,23541,SEC14L2
485,5013,OTX1
486,10738,RFPL3
487,219995,MS4A15
488,9348,NDST3
489,5456,POU3F4
490,84254,CAMKK1
491,9659,PDE4DIP
492,5837,PYGM
493,143282,FGFBP3
494,440699,LRRC52
495,29968,PSAT1
496,150379,PNPLA5
497,4992,OR1F1
498,1600,DAB1
499,57692,MAGEE1
500,404037,HAPLN4
501,126402,CCDC105
502,80341,BPIFB2
503,9033,PKD2L1
504,27006,FGF22
505,51764,GNG13
506,57156,TMEM63C
507,146227,BEAN1
508,54207,KCNK10
509,221687,RNF182
510,57689,LRRC4C
511,6752,SSTR2
512,8001,GLRA3
513,3884,KRT33B
514,2290,FOXG1
515,23245,ASTN2
516,139728,PNCK
517,23201,FAM168A
518,26507,CNNM1
519,4761,NEUROD2
520,116986,AGAP2
521,114134,SLC2A13
522,137868,SGCZ
523,284312,ZSCAN1
524,22997,IGSF9B
525,57168,ASPHD2
526,85366,MYLK2
527,94097,SFXN5
528,56134,PCDHAC2
529,8153,RND2
530,54209,TREM2
531,7101,NR2E1
532,6376,CX3CL1
533,64854,USP46
534,3925,STMN1
535,2913,GRM3
536,6733,SRPK2
537,886,CCKAR
538,482,ATP1B2
539,1917,EEF1A2
540,26074,CFAP61
541,22802,CLCA4
542,7804,LRP8
543,5455,POU3F3
544,869,CBLN1
545,197,AHSG
546,399967,PATE2
547,2742,GLRA2
548,79955,PDZD7
549,22843,PPM1E
550,84628,NTNG2
551,3798,KIF5A
552,285679,C5ORF60
553,27344,PCSK1N
554,64377,CHST8
555,200150,PLD5
556,220416,LRRC63
557,344838,PAQR9
558,54551,MAGEL2
559,81551,STMN4
560,4100,MAGEA1
561,84435,ADGRA1
562,59350,RXFP1
563,8936,WASF1
564,6327,SCN2B
565,54734,RAB39A
566,6563,SLC14A1
567,4133,MAP2
568,402381,SOHLH1
569,5274,SERPINI1
570,112937,GLB1L3
571,84107,ZIC4
572,7533,YWHAH
573,56899,ANKS1B
574,116173,CMTM5
575,442117,GALNTL6
576,30819,KCNIP2
577,56103,PCDHGB2
578,6861,SYT5
579,100130613,PRR32
580,3166,HMX1
581,140597,TCEAL2
582,53826,FXYD6
583,9638,FEZ1
584,55586,MIOX
585,56,ACRV1
586,79781,IQCA1
587,84239,ATP13A4
588,257407,C2ORF72
589,63827,BCAN
590,3748,KCNC3
591,2018,EMX2
592,135295,SRSF12
593,5270,SERPINE2
