,tau,logtau
a24pr,22.103625197626044,1.3444635078122344
p32pr,18.25734551948846,1.2614376346418428
a24,24.706657121409364,1.3928139881403636
d32,30.73027861759843,1.4875664978267336
8BM,25.53171882891894,1.4070800530646237
p32,22.67467970746696,1.3555411611229982
10r,26.573868598010456,1.4244547831821353
47m,25.381197944310845,1.4045121161166836
8Av,20.88123313220635,1.3197561421606483
8Ad,26.201647360767137,1.4183285973197337
9m,26.331331771278506,1.420472825163442
8BL,26.40897960221216,1.4217516211353665
9p,22.059942103810744,1.3436043683023353
10d,21.97081750529359,1.341846216749031
8C,17.208986249814185,1.235755287580372
44,18.867382011982055,1.2757116427919453
45,24.78208764322386,1.3941378885510636
47l,28.02403379119917,1.4475306479794365
a47r,21.68017469277168,1.3360627773036697
6r,17.106608153039176,1.2331639074694523
IFJa,17.89067628965358,1.2526267577453143
IFJp,15.854249204137634,1.2001456803447812
IFSp,20.924449499443583,1.320654040978374
IFSa,25.618774231453695,1.4085583464371234
p9-46v,20.202465583094174,1.3054043755747573
46,17.252353346224844,1.23684834436982
a9-46v,20.70114750903172,1.3159944199993168
9-46d,19.844467322565546,1.2976394457992286
9a,13.617484277873366,1.1340968825288464
10v,28.27847060982604,1.4514559177247879
a10p,22.888522520479423,1.3596177593887222
10pp,26.867194037931544,1.4292223118564853
11l,27.62047137505839,1.4412310860398574
13l,30.648408245117093,1.4864079239339347
OFC,31.34994717223279,1.496236813338119
47s,31.837444119072877,1.5029381957007775
LIPd,14.93453996800549,1.1741918494755497
6a,18.87960117464836,1.2759928157311748
i6-8,25.97137122682931,1.414494879953685
s6-8,31.311990279855234,1.4957106734964154
43,16.82260161874669,1.2258931603854362
OP4,17.55335704643171,1.244360186745838
OP1,19.088156568754535,1.2807639885992792
OP2-3,21.881979492689137,1.3400866066863601
52,25.82721072348501,1.412077505948424
RI,21.266944545138138,1.3277050986236805
PFcm,19.057262196056517,1.28006050918011
PoI2,21.56844217602637,1.3338187784457216
TA2,21.615670507869453,1.3347687116879134
FOP4,19.224848490636052,1.2838629258498016
MI,22.375115810503964,1.349765291841923
Pir,22.631612160494285,1.354715491978077
AVI,26.525540944519566,1.4236642493810823
AAIC,27.546095922627554,1.4400600554779626
FOP1,17.51462349959859,1.2434008060097368
FOP3,16.776382987592154,1.224698332067405
FOP2,16.512454889974858,1.2178116441843243
PFt,15.938451962154202,1.202446137829086
AIP,19.07762244831827,1.2805242497226639
EC,47.94966499183247,1.6807855772479379
PreS,49.264933323773334,1.6925378993425957
H,45.41656563236632,1.6572142900927695
ProS,18.872150918402173,1.2758214008940296
PeEc,40.4271857498047,1.6066735099245626
STGa,27.123603096794433,1.433347380663931
PBelt,19.28597981810324,1.2852417079563192
A5,19.883979608922292,1.2985033090969622
PHA1,28.729262018426144,1.4583244702160454
PHA3,19.826490991672316,1.297245857029111
STSda,22.568032084814043,1.3534936905811892
STSdp,20.056812870071205,1.3022619225572885
STSvp,22.552125678727165,1.353187483111223
TGd,35.466814411766464,1.5498221823957934
TE1a,28.276023811776383,1.4514183387170423
TE1p,21.848475381676913,1.3394211366644955
TE2a,25.34980077001019,1.4039745504612597
TF,24.349220916728928,1.3864850699868545
TE2p,19.85061932450471,1.2977740609741484
PHT,20.175823779677355,1.3048312760168759
PH,17.552299048362514,1.2443340096123177
TPOJ1,18.21247070753705,1.260368866270689
TPOJ2,16.23144047560869,1.2103570634397878
TPOJ3,17.308051680823112,1.2382481833063717
DVT,15.928080574012315,1.2021634439530815
PGp,18.987633953716134,1.278470850736783
IP2,20.91989527491857,1.3205595061207231
IP1,16.000949235681873,1.2041457473803239
IP0,18.81715777900933,1.274554026418051
PFop,16.773057465120875,1.2246122348899877
PF,17.33624636535904,1.2389550701135443
PFm,17.59050792240794,1.2452783798050597
PGi,17.569236669329285,1.2447528931117082
PGs,18.2743371950282,1.2618416341791767
V6A,19.70562507321847,1.294590215478912
VMV1,19.4062608380829,1.287941864403188
VMV3,21.00303401639767,1.3222820357531175
PHA2,27.292296230402037,1.4360400764628731
V4t,14.785804632231198,1.1698449634802948
FST,14.636349369274559,1.1654327675361595
V3CD,22.782012638518122,1.3575920884521195
LO3,17.205360136153697,1.2356637675415096
VMV2,26.83022184257088,1.428624263600231
31pd,20.363154865541695,1.308845064163366
31a,20.009302506735192,1.3012319500677143
VVC,17.77639331028494,1.249843650653766
25,31.439296556062438,1.4974728202796432
s32,29.94791382210117,1.4763665747351595
pOFC,32.05148875246085,1.5058482067709842
PoI1,24.01355235255474,1.3804564104941373
Ig,19.823493601118503,1.297180194951636
FOP5,24.217617855846843,1.3841314219226182
p10p,12.672894233987787,1.1028758103300302
p47r,26.98610600623455,1.4311402220144045
TGv,35.50377842409493,1.5502745745033801
MBelt,20.659916183176453,1.315128555264057
LBelt,21.986121263298706,1.342148618968509
A4,18.902942974502274,1.2765294241778646
STSva,25.228750663158866,1.4018957446305234
TE1m,23.949567343650294,1.3792976721571597
PI,21.616939915212324,1.33479421542683
a32pr,27.377661368804315,1.4373963474502192
p24,30.18387605978142,1.4797750089083006
