,GeneID,symbol
431,729201,SPACA5B
432,56104,PCDHGB1
433,5142,PDE4B
434,22987,SV2C
435,1131,CHRM3
436,8745,ADAM23
437,80059,LRRTM4
438,5798,PTPRN
439,22986,SORCS3
440,1271,CNTFR
441,6010,RHO
442,2911,GRM1
443,197021,LCTL
444,65122,PRAMEF2
445,8471,IRS4
446,51289,RXFP3
447,143162,FRMPD2
448,9362,CPNE6
449,136371,ASB10
450,54437,SEMA5B
451,6710,SPTB
452,84059,ADGRV1
453,6323,SCN1A
454,51209,RAB9B
455,146845,CFAP52
456,116085,SLC22A12
457,728393,USP17L27
458,402117,VWC2L
459,7070,THY1
460,346171,ZFP57
462,3756,KCNH1
464,6543,SLC8A2
465,158724,FAM47A
466,414149,ACBD7
467,7857,SCG2
468,26038,CHD5
469,3765,KCNJ9
470,57464,STRIP2
471,344901,OSTN
472,780776,TVP23A
473,283116,TRIM49B
474,3231,HOXD1
476,390191,OR5B12
477,114824,PNMA5
478,9211,LGI1
479,348303,SELENOV
480,219736,STOX1
481,22979,EFR3B
482,6476,SI
483,88,ACTN2
484,374918,IGFL1
485,80816,ASXL3
486,3042,HBM
487,6756,SSX1
489,7067,THRA
490,85315,PAQR8
491,5860,QDPR
492,59335,PRDM12
493,9806,SPOCK2
494,93145,OLFM2
495,5173,PDYN
496,57282,SLC4A10
497,254778,VXN
498,153328,SLC25A48
499,773,CACNA1A
500,10815,CPLX1
501,50944,SHANK1
502,55966,AJAP1
503,6754,SSTR4
504,641372,ACOT6
505,4184,SMCP
507,1000,CDH2
508,25830,SULT4A1
509,198437,LKAAEAR1
510,401097,C3orf80
511,196051,PLPP4
512,390205,LRRC10B
513,954,ENTPD2
514,100131980,ZNF705G
515,81628,TSC22D4
516,2253,FGF8
517,146395,GSG1L
518,50651,SLC45A1
519,23229,ARHGEF9
520,1944,EFNA3
521,196541,METTL21C
522,4023,LPL
523,64219,PJA1
524,219409,GSX1
525,10718,NRG3
526,100507421,TMEM178B
527,399697,CTXN2
528,140767,NRSN1
529,56776,FMN2
530,284434,NWD1
531,23418,CRB1
532,4613,MYCN
533,57512,GPR158
534,57642,COL20A1
535,345222,MSANTD1
536,343637,RSPO4
537,6870,TACR3
538,1745,DLX1
539,59351,PBOV1
540,133690,CAPSL
541,81615,TMEM163
542,55117,SLC6A15
543,5100,PCDH8
544,2983,GUCY1B1
545,253982,ASPHD1
546,64850,ETNPPL
547,9283,GPR37L1
548,5680,PSG11
549,9951,HS3ST4
550,200373,CFAP221
552,10409,BASP1
553,4142,MAS1
554,1012,CDH13
555,154790,CLEC2L
556,83648,FAM167A
557,56062,KLHL4
558,26103,LRIT1
559,9210,BMP15
560,148252,DIRAS1
561,79369,B3GNT4
562,55799,CACNA2D3
563,7036,TFR2
564,4440,MSI1
565,388336,SHISA6
566,4284,MIP
567,5521,PPP2R2B
568,23541,SEC14L2
569,5013,OTX1
570,10738,RFPL3
571,219995,MS4A15
572,9348,NDST3
573,5456,POU3F4
574,1409,CRYAA
575,84254,CAMKK1
577,9659,PDE4DIP
578,5837,PYGM
579,143282,FGFBP3
580,440699,LRRC52
581,29968,PSAT1
582,346673,STRA8
583,150379,PNPLA5
584,4992,OR1F1
586,1600,DAB1
587,391002,PRAMEF8
590,57692,MAGEE1
591,404037,HAPLN4
592,126402,CCDC105
593,80341,BPIFB2
594,9033,PKD2L1
595,27006,FGF22
596,51764,GNG13
597,57156,TMEM63C
598,146227,BEAN1
599,54207,KCNK10
600,653067,XAGE1B
601,221687,RNF182
602,57689,LRRC4C
603,6752,SSTR2
604,8001,GLRA3
605,3884,KRT33B
606,2290,FOXG1
607,23245,ASTN2
608,139728,PNCK
609,23201,FAM168A
610,26507,CNNM1
611,4761,NEUROD2
612,728369,USP17L24
613,116986,AGAP2
614,114134,SLC2A13
615,137868,SGCZ
616,284312,ZSCAN1
617,22997,IGSF9B
618,57168,ASPHD2
619,401387,LRRD1
620,85366,MYLK2
621,94097,SFXN5
622,56134,PCDHAC2
623,8153,RND2
624,54209,TREM2
625,7101,NR2E1
626,6376,CX3CL1
627,64854,USP46
628,3925,STMN1
629,2913,GRM3
630,6733,SRPK2
631,886,CCKAR
632,482,ATP1B2
633,1917,EEF1A2
634,26074,CFAP61
635,22802,CLCA4
636,7804,LRP8
637,5455,POU3F3
638,869,CBLN1
639,197,AHSG
640,399967,PATE2
641,2742,GLRA2
642,79955,PDZD7
643,22843,PPM1E
644,84628,NTNG2
645,345062,PRSS48
646,3798,KIF5A
647,285679,C5orf60
648,27344,PCSK1N
650,64377,CHST8
651,200150,PLD5
652,220416,LRRC63
653,344838,PAQR9
654,54551,MAGEL2
655,81551,STMN4
656,26659,OR7A5
657,4100,MAGEA1
658,84435,ADGRA1
659,391723,HELT
660,59350,RXFP1
661,8936,WASF1
662,6327,SCN2B
663,54734,RAB39A
664,6563,SLC14A1
665,4133,MAP2
668,402381,SOHLH1
669,5274,SERPINI1
670,112937,GLB1L3
671,84107,ZIC4
672,7533,YWHAH
673,56899,ANKS1B
674,116173,CMTM5
675,442117,GALNTL6
676,30819,KCNIP2
677,56103,PCDHGB2
678,6861,SYT5
679,100130613,PRR32
680,3166,HMX1
681,140597,TCEAL2
682,53826,FXYD6
683,9638,FEZ1
684,55586,MIOX
685,63950,DMRTA2
688,56,ACRV1
689,79781,IQCA1
691,84239,ATP13A4
692,257407,C2orf72
694,63827,BCAN
695,3748,KCNC3
696,2018,EMX2
697,135295,SRSF12
698,5270,SERPINE2
699,8913,CACNA1G
700,56140,PCDHA8
701,50801,KCNK4
702,23359,FAM189A1
703,9148,NEURL1
704,54958,TMEM160
705,84707,BEX2
706,4166,CHST6
707,284433,OR10H5
708,64208,POPDC3
709,5064,PALM
711,23769,FLRT1
712,55530,SVOP
713,80759,KHDC1
714,51704,GPRC5B
715,9746,CLSTN3
716,22895,RPH3A
717,242,ALOX12B
718,22808,MRAS
720,170685,NUDT10
721,7216,TRO
722,81706,PPP1R14C
723,54363,HAO1
