,patient,cond,pharm,session_id,chan,y,z,exp,knee,tau,log_tau,err,r2
1031,Chibi,EyesClosed,Ketamine,0.0,8.0,445.7474090531663,779.0578578266354,2.3448394400508454,564.5862405542979,0.010673184794506027,-1.9717059711752887,0.031162235114511327,0.9949209083925238
1032,Chibi,EyesClosed,Ketamine,0.0,9.0,484.84570089803117,760.9128277000342,3.3115655687172234,16426.314281854415,0.008488777440089688,-2.0711548526600505,0.03960540667178225,0.9938195869373356
1033,Chibi,EyesClosed,Ketamine,0.0,10.0,548.7062442446438,741.4717239929614,3.8151729571408652,71005.04292268999,0.008516131177435137,-2.0697576575675027,0.03324045736416028,0.9951042493679679
1034,Chibi,EyesClosed,Ketamine,0.0,11.0,609.9602348015987,740.1756504124899,3.61184131834624,36691.92624902272,0.008670432689057692,-2.061959228961942,0.03358263072656198,0.9963088448514266
1035,Chibi,EyesClosed,Ketamine,0.0,12.0,654.2716322257792,758.3206805390912,3.476380653468815,12290.04391259846,0.010603216067365038,-1.9745623886532828,0.03992939109625026,0.9962732884833816
1036,Chibi,EyesClosed,Ketamine,0.0,13.0,701.1895824396169,788.1303728899359,3.8598426732883753,25240.29501404752,0.011516875627093422,-1.938665323165423,0.033585987741830414,0.9982738852473877
1037,Chibi,EyesClosed,Ketamine,0.0,14.0,275.0182013305896,816.6439916603092,3.0786401791163205,4024.0597454561816,0.01073884575572997,-1.9690423954386924,0.03699579161225699,0.9918928841537283
1038,Chibi,EyesClosed,Ketamine,0.0,15.0,323.2394279392562,781.6500049875783,2.840037648587111,2862.4117381729757,0.00965332827287918,-2.0153229248597353,0.037014208459934805,0.9906054885439175
1039,Chibi,EyesClosed,Ketamine,0.0,16.0,376.6737601272384,759.6167541195628,2.864500946070745,5189.51656795862,0.0080327787005381,-2.0951341974906,0.02420141500655599,0.9963992551652814
1040,Chibi,EyesClosed,Ketamine,0.0,17.0,436.62447428936457,729.8070617687179,2.542155671724026,783.952688229584,0.011569169545579757,-1.9366978143167317,0.03704205456043394,0.9865290433317825
1041,Chibi,EyesClosed,Ketamine,0.0,18.0,477.02604252905815,724.6227674468319,3.2385107100037596,11477.159108740088,0.008875822129797664,-2.051791409551947,0.035428866644917595,0.9898729853734938
1042,Chibi,EyesClosed,Ketamine,0.0,19.0,542.1898622704997,705.1816637397592,3.7873347066342955,79653.7439747824,0.00808566631569392,-2.092284185367303,0.024306619840804577,0.9983152780441624
