,GeneID,Symbol,Synonyms
195,309,ANXA6,ANX6|CBP68|CPB-II|p68|p70
196,310,ANXA7,ANX7|SNX|SYNEXIN
197,311,ANXA11,ALS23|ANX11|CAP-50|CAP50
198,312,ANXA13,ANX13|ISA
199,313,AOAH,-
200,314,AOC2,DAO2|RAO|SSAO
201,316,AOX1,AO|AOH1
202,317,APAF1,APAF-1|CED4
203,318,NUDT2,APAH1
204,320,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA
205,321,APBA2,D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L
206,322,APBB1,FE65|MGC:9072|RIR
207,323,APBB2,FE65L|FE65L1
208,324,APC,BTPS2|DP2|DP2.5|DP3|GS|PPP1R46
209,325,APCS,HEL-S-92n|PTX2|SAP
210,326,AIRE,AIRE1|APECED|APS1|APSI|PGA1
211,327,APEH,AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH
212,328,APEX1,APE|APE1|APEN|APEX|APX|HAP1|REF1
213,329,BIRC2,API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1
214,330,BIRC3,AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2
215,331,XIAP,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3
216,332,BIRC5,API4|EPR-1
217,333,APLP1,APLP
218,334,APLP2,APLP-2|APPH|APPL2|CDEBP
219,335,APOA1,HPALP2|apo(a)
220,337,APOA4,-
221,341,APOC1,Apo-CI|ApoC-I|apo-CIB|apoC-IB
222,343,AQP8,AQP-8
223,344,APOC2,APO-CII|APOC-II
224,346,APOC4,APO-CIV|APOC-IV
225,347,APOD,-
226,348,APOE,AD2|APO-E|ApoE4|LDLCQ5|LPG
227,351,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4
228,353,APRT,AMP|APRTD
229,354,KLK3,APS|KLK2A1|PSA|hK3
230,355,FAS,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
231,357,SHROOM2,APXL|HSAPXL
232,358,AQP1,AQP-CHIP|CHIP28|CO
233,359,AQP2,AQP-CD|WCH-CD
234,360,AQP3,AQP-3|GIL
235,361,AQP4,MIWC|WCH4
236,362,AQP5,AQP-5|PPKB
237,363,AQP6,AQP2L|KID
238,364,AQP7,AQP7L|AQPap|GLYCQTL
239,366,AQP9,AQP-9|HsT17287|SSC1|T17287
240,367,AR,AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM
241,368,ABCC6,ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7
242,369,ARAF,A-RAF|ARAF1|PKS2|RAFA1
243,372,ARCN1,COPD|SRMMD
244,373,TRIM23,ARD1|ARFD1|RNF46
245,374,AREG,AR|AREGB|CRDGF|SDGF
246,375,ARF1,PVNH8
247,377,ARF3,-
248,378,ARF4,ARF2
249,379,ARL4D,ARF4L|ARL6
250,381,ARF5,-
251,382,ARF6,-
252,383,ARG1,-
253,384,ARG2,-
254,387,RHOA,ARH12|ARHA|RHO12|RHOH12
255,388,RHOB,ARH6|ARHB|MST081|MSTP081|RHOH6
256,389,RHOC,ARH9|ARHC|H9|RHOH9
257,390,RND3,ARHE|Rho8|RhoE|memB
258,391,RHOG,ARHG
259,392,ARHGAP1,CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
260,393,ARHGAP4,C1|RGC1|RhoGAP4|SrGAP4|p115
261,394,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP
262,395,ARHGAP6,RHOGAP6|RHOGAPX-1
263,396,ARHGDIA,GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1
