,w,w_zscore,pv
AGL,-1.0329251051863218e-05,-1.2438115438801183,0.06299999999999994
AGRP,-1.7998823169417013e-06,-0.19461143464347008,0.7050000000000001
JAG1,3.0951376540106064e-06,0.40752638444402806,0.5489999999999999
AGT,1.0160729400104622e-05,1.276666863911365,0.20099999999999996
AGTR1,4.3890960895097163e-07,0.08078300616520626,0.9299999999999999
APLNR,1.0452173069424051e-05,1.312517433770576,0.127
AGXT,3.4255401804587045e-06,0.44816929456023596,0.581
NR0B1,1.4018737410988473e-05,1.7512415425604815,0.0010000000000000009
AHCY,1.069554760471974e-05,1.3424550055831523,0.06499999999999995
AHR,7.149711062248694e-06,0.9062806293407407,0.27
AHSG,4.3250198543392136e-07,0.07999480254745067,0.935
AIF1,1.313862495333573e-05,1.6429786551876928,0.0
CRYBG1,7.698606176904833e-06,0.9738003757785739,0.42000000000000004
AK1,9.399422670426448e-06,1.183018303418185,0.050000000000000044
AK2,-1.3284922393076492e-05,-1.607389528423324,0.04200000000000004
AK4,1.39942400253641e-05,1.7482281120860936,0.0010000000000000009
AKT1,-1.1063459401708985e-05,-1.3341267248508617,0.03500000000000003
AKT2,-1.2647373758838975e-05,-1.5289644869607644,0.02400000000000002
ALAD,-1.0433146606592595e-05,-1.2565917660464974,0.052000000000000046
ALAS1,-5.495865088513307e-06,-0.649255341852317,0.45699999999999996
ALAS2,2.8837732851885425e-06,0.3815263924459233,0.71
ALB,8.087358488857722e-06,1.0216209098465883,0.20699999999999996
ALCAM,1.469212122596539e-05,1.8340746799460554,0.027000000000000024
ABCD1,9.15441751415011e-06,1.1528801484482627,0.357
ALDH1A1,-9.995657867115718e-06,-1.2027761499658347,0.136
ALDH2,8.883518274799079e-06,1.1195567548475704,0.19299999999999995
ALDH3A1,-8.998722747745308e-06,-1.0801428732659137,0.19599999999999995
ALDH1B1,-1.3466555811831682e-05,-1.629732307674821,0.14
ALDH1A3,-1.1901455119869929e-05,-1.437208819945956,0.014000000000000012
ALDH3B1,3.1321619069229135e-06,0.41208074847813914,0.6990000000000001
ALDH3B2,2.7682939040319206e-06,0.36732124044820946,0.5509999999999999
ALDH9A1,1.242619016833852e-05,1.5553418467117444,0.040000000000000036
ALDH3A2,9.264934855768782e-06,1.166474918530614,0.133
ABCD2,-1.145015928755165e-05,-1.3816947893908287,0.008000000000000007
ALDOA,2.569366826762051e-06,0.34285116327272724,0.786
ALDOB,4.4760451885870455e-06,0.5773922187338904,0.795
ALDOC,-7.688006069336243e-06,-0.9189112364468096,0.236
AKR1B1,-5.863012892998427e-07,-0.04532848225378448,0.923
ALK,5.492152227540565e-06,0.7023838387937973,0.42200000000000004
ALOX5,1.1713880135158594e-05,1.4677203839928372,0.0020000000000000018
ALOX5AP,1.3810651929629467e-05,1.7256448874553323,0.0
ALOX12B,-6.971992404355899e-06,-0.830834188911448,0.37
ALOX12P2,-1.0581291709213953e-06,-0.10336816611824158,0.863
ALOX15B,7.961633482729869e-06,1.0061554405647828,0.471
ALPI,-5.253570809487444e-06,-0.6194506526752006,0.5509999999999999
ALPL,1.0351572337011161e-05,1.300142508648071,0.05700000000000005
ALPP,1.9197167872451902e-06,0.26293752445488866,0.611
ALPG,2.0383019315110293e-06,0.27752471726883693,0.743
ALX3,-1.2547503734258992e-05,-1.5166794464196311,0.0030000000000000027
AMBN,-5.795111258004301e-07,-0.044493222282416395,0.926
AMD1,-7.638094438653021e-06,-0.9127715923544385,0.48
AMELY,-1.2992799285605692e-06,-0.13303219039961764,0.876
AMFR,4.606259951452175e-06,0.59340997428747,0.404
AMH,-1.2590392523913453e-05,-1.5219552088106099,0.014000000000000012
AMHR2,8.700704820551583e-07,0.1338202295774549,0.952
AMPD2,4.800248459415644e-06,0.617272556627545,0.44999999999999996
AMPD3,-1.4526165953158951e-05,-1.7600752569105664,0.061000000000000054
AMPH,-3.4478038420416334e-06,-0.3973227369546583,0.38
BIN1,9.4129341384987e-06,1.1846803530044943,0.18400000000000005
AMT,-6.969269268284997e-06,-0.830499215157604,0.388
AMY1B,-8.586945847379338e-06,-1.029490077933449,0.29700000000000004
AMY2A,-3.3138397529788246e-06,-0.380843775703632,0.714
ANG,6.46893114695425e-06,0.822537695520959,0.43200000000000005
ANGPT1,7.686939315553438e-06,0.9723652317972598,0.44699999999999995
ANGPT2,-4.49690838926477e-06,-0.5263733900282597,0.53
