,w,w_zscore,pv
AKT1,-1.0860326589186726e-05,-1.2673697543634614,0.05700000000000005
AKT2,-1.2807844036466806e-05,-1.4998561179998438,0.07099999999999995
ALAD,-1.1076902218596438e-05,-1.2932236334155054,0.05900000000000005
ALAS1,-1.0710519419040488e-05,-1.2494864104773273,0.28
ALAS2,2.5917833530841514e-06,0.3384860124658314,0.761
ALB,8.725815751533526e-06,1.0707407548995513,0.19999999999999996
ALCAM,1.610797278788926e-05,1.951991317030334,0.027000000000000024
ABCD1,7.77468956533217e-06,0.9571993493023294,0.271
ALDH1A1,-9.750382847766168e-06,-1.1348693833684713,0.19899999999999995
ALDH2,7.852522784776537e-06,0.9664907485573171,0.373
ALDH3A1,-9.42528560593883e-06,-1.0960606550121674,0.22199999999999998
ALDH1B1,-1.454992677971675e-05,-1.7078185589512784,0.118
ALDH1A3,-1.1558435089868605e-05,-1.350706982984364,0.08099999999999996
ALDH3B1,5.0685441051711515e-06,0.63415119464646,0.62
ALDH3B2,4.98552101470095e-06,0.6242402506247628,0.396
ALDH9A1,1.2697933108207188e-05,1.5449152592048838,0.031000000000000028
ALDH3A2,9.90943120500874e-06,1.2120357420672356,0.15100000000000002
ABCD2,-1.1188352727791111e-05,-1.3065281219808222,0.05800000000000005
ALDOA,-2.754830933401751e-06,-0.29977009916358854,0.63
ALDOB,1.9278302398076223e-06,0.25922610896853754,0.819
ALDOC,-8.971988577222195e-06,-1.0419479804373186,0.264
AKR1B1,-4.447947345652065e-06,-0.5018871474328586,0.598
ALK,2.1885131065974295e-06,0.29034532273830965,0.681
ALOX5,1.1245493349647921e-05,1.3715291679326618,0.03500000000000003
ALOX5AP,1.4634240336358625e-05,1.7760633944806292,0.018000000000000016
ALOX12B,-5.18519152796288e-06,-0.589896227555297,0.529
ALOX12P2,1.8600851209024736e-06,0.2511389843215318,0.833
ALOX15B,6.221888940645127e-06,0.7718326039671459,0.42900000000000005
ALPI,-6.2810039424883016e-06,-0.720709660747601,0.484
ALPL,8.898813765626987e-06,1.0913925232670572,0.137
ALPP,3.4034797369639877e-06,0.43538288028520616,0.531
ALPG,3.7035608729773057e-06,0.4712052921485992,0.639
ALX3,-1.2584952896537465e-05,-1.4732483201178213,0.04400000000000004
AMBN,-1.9475779903727705e-06,-0.20340367044600033,0.783
AMD1,-4.4936760018369434e-06,-0.5073460402429067,0.523
AMELY,-8.129397252995659e-07,-0.06795537207107617,0.933
AMFR,4.433375810637931e-06,0.5583275005895029,0.511
AMH,-1.2814189850566547e-05,-1.500613654342546,0.01100000000000001
AMHR2,-4.6582936123921316e-07,-0.026518810650999397,0.947
AMPD2,1.2129074454371807e-06,0.17388166136111038,0.765
AMPD3,-1.584548326701695e-05,-1.8624765914318633,0.040000000000000036
AMPH,-9.580130915221873e-06,-1.1145454305563571,0.14
BIN1,1.0201329156328393e-05,1.2468812800879567,0.18000000000000005
AMT,-4.615966058933623e-06,-0.5219445080117061,0.491
AMY1B,-7.171535828812549e-06,-0.8270175761107837,0.269
AMY2A,-1.261558275911552e-06,-0.12150954979475614,0.855
ANG,7.332869733368209e-06,0.904456773743279,0.344
ANGPT1,6.588184571658894e-06,0.8155594210948786,0.31599999999999995
ANGPT2,-3.290511104815061e-06,-0.3637173235121692,0.783
ANK1,-1.7325948904200977e-05,-2.039208293095553,0.0
ANK2,3.503599350628491e-06,0.4473347346534676,0.649
ANK3,-1.508743420416246e-05,-1.7719839130082937,0.0
ANPEP,-8.036647154620925e-06,-0.9302908928960757,0.272
