,region,T1T2,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,DRD1,DRD2,DRD3,DRD4,DRD5,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CHRNA10,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR3A,HTR3B,HTR3C,HTR4,HTR5A,HTR6,HTR7,GRIA1,GRIA2,GRIA3,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GABRR1,GABRR3,VIP,PV+,SOM
49,VIP,1.335878253,-0.488604456,-0.253043622,0.645313978,-0.449610263,-1.008787036,-0.080912247,1.016971588,-0.421105921,-0.150045052,1.308051705,0.159466773,1.069645524,0.427362144,-0.662846804,0.712287664,0.049342338,0.329642743,-1.008917332,-0.497989953,-0.654476345,-0.073704369,-1.322883487,0.484504938,0.438420862,-0.190600127,0.394507438,1.576190352,-0.252309382,-0.765967906,-0.30908975,-0.484041274,-0.182954758,1.012991786,0.807711422,0.558608472,-0.783207417,-0.754573047,-1.080943942,1.05567801,-0.600719154,0.472109169,0.842321634,-0.107587829,-0.38915664,-0.08122775,0.017823372,0.35812366,0.830443263,0.57886529,0.767149389,0.264281631,-0.987768054,0.45397833,-0.829796672,-0.135091662,-1.004153013,-0.71257925,-0.496640712,-0.943753064,0.124721088,-0.922883928,0.659936368,0.672538638,0.293726921,-0.71643889,0.037589263,-0.173053712,-0.403090358,-0.268329263,-0.951951265,0.635521591,-0.089568406,-0.519037306,1.484415531,-0.881252646,0.037008569,-0.195241302,1.334660411,-0.699524164,0.739139974,-0.689518869,0.12545304,1.013610721,0.180245623,-0.157179534,-0.667131126,-1.755438089,-1.083677411,0.923196793,0.743577957,-1.150434136
50,MIP,1.358630717,-0.404251128,-0.530006468,0.88567549,-0.788388371,-0.819041669,-0.252451926,1.067341208,-0.423473775,-0.387999028,1.318187237,0.165735275,0.766079843,-0.311933458,-0.735597014,0.941334784,0.055866607,0.348143369,-1.168098569,-0.409043282,-0.676995337,-0.018577764,-1.194272995,0.334162205,0.628486514,-0.322841942,0.737343311,1.7154634,-0.325366467,-0.755659997,-0.857509673,0.210653499,-0.395061076,0.44295913,0.956043363,0.63640064,-1.10283792,-0.870850325,-1.159316897,0.847602963,-0.694337249,0.401672274,0.837676764,-0.105164044,-0.580827653,0.136316955,0.04736691,0.356640369,0.969512463,0.434870541,0.955423772,0.31458962,-1.255114913,0.677962184,-1.202205062,-0.326241136,-1.407623768,-0.929564416,-0.226693869,-0.595797777,0.247923955,-0.592869461,0.649588466,0.383450538,0.57134831,-0.828884006,0.251322418,0.093377747,-0.522954643,-0.313008845,-0.928376615,0.794378579,-0.040850952,-0.774551272,1.705191135,-1.026696563,0.587928355,-0.50206846,1.539600372,-0.624324024,0.648685396,-0.791380286,0.413135111,1.2286731,0.396764368,-0.05694405,-0.575647175,-2.250268936,-0.810659528,1.102034092,0.638572276,-1.204969525
51,1,1.451405764,0.290783733,-0.380200475,0.348282725,0.320562303,-0.85885489,-0.586080253,-0.07174316,-0.555796325,0.31308189,-0.068726845,0.934558332,0.635491312,-2.090531111,-1.074313521,-0.623040199,0.264636636,-1.007040858,0.873860598,1.332185268,-0.177287385,-0.736237288,-0.547816217,0.80502975,0.637367606,-0.854087949,1.078314781,0.546465874,-0.2070456,-0.884220541,-1.217508197,-0.147496998,-0.3051036,-0.222112566,0.754134417,-0.086936191,1.601626396,-0.850589752,-0.727970123,-0.499615014,1.191479564,-0.280129105,-0.254493564,1.227160096,-0.55187881,-1.279144287,-0.727622807,1.205164194,-0.315278679,0.219409868,-0.637037098,-1.951639771,0.684306145,-0.882594705,-0.857503355,1.630447984,-0.816734672,0.212789729,0.227840275,1.184386849,-2.071898222,-0.23927097,-1.684942961,-1.131153584,1.654312253,-1.035643697,-0.626088679,-1.661552787,-0.628038347,-0.295704573,-0.103819638,0.828750014,-0.95046252,-1.120490313,0.063219622,-1.091555238,0.657933593,-0.872196019,0.189357176,-1.493492961,1.163232207,-0.611912012,-0.722535908,0.383390635,0.287291855,0.959467709,-0.71559304,0.176551446,-0.1007258,-1.257507801,1.087143898,-0.478968322
52,2,1.371135354,0.700224876,-0.077305399,0.609916389,-0.285216928,-1.324223042,-0.088249996,0.089872345,-0.647256851,0.854916692,0.230516255,1.247941017,0.925116181,-2.077832222,-0.820411921,-0.46121937,-0.017027406,-0.537335038,0.830680966,0.89374578,0.340025961,-0.779465616,-0.948270679,1.089068174,0.514744878,-0.631016672,0.920710683,0.508337259,0.020134972,-0.806668639,-0.654152811,-0.136254281,-0.587623358,0.312936276,0.63536793,-0.129276037,0.592475116,-0.650258303,-0.54537195,-0.180930808,1.215564847,0.129493713,-0.480484039,1.270543694,-0.461976707,-0.647501826,-0.002129415,1.343426228,-0.175659373,-0.318306625,-0.734139085,-1.489154577,0.46130687,-0.428003401,-0.642460942,1.762037873,-0.613091171,0.314694524,0.419576734,0.111819275,-1.433925271,-0.370473385,-1.011594415,-0.538501084,1.317503214,-0.652966917,-0.392156273,-1.001002073,-0.63292098,-0.488453716,0.466138452,0.534289658,-0.310098469,-0.728448868,0.358124793,-0.764148653,0.442267001,-0.158535883,0.081722505,-1.087874651,0.90699935,-0.144819975,-0.020195061,0.498142004,-0.039124396,1.714703798,-0.705307007,0.158523753,-0.213841632,-0.874318182,0.589854658,-0.681468785
53,3a,1.559230208,0.791841567,-0.34779492,-0.018185088,0.443410218,-0.857389033,-0.677118599,-0.295645446,-0.546230257,0.456836551,0.546172142,0.648644745,0.239798084,-0.758150935,-0.774253964,-1.408731699,1.08890295,-1.232061505,1.026090145,0.917613626,0.455898315,-0.306003183,-0.505161941,1.203649759,0.842687905,-0.572091877,0.492253453,0.455134302,-0.018467695,-0.448255867,-1.049857855,0.555455446,-1.014621735,-0.169354737,0.596166193,-1.075891972,1.383566976,-0.973379374,-0.110388622,-1.102008462,1.589677215,-0.629282594,-0.29916057,1.052991629,-0.578947663,-1.004975915,-0.73503381,0.347496182,-0.485805184,-0.743283331,-0.334214956,-1.873051643,0.472456396,-0.673179269,-0.545706272,1.054583192,-0.696300745,0.838596106,-0.074317381,1.192422509,-1.895971656,-0.401896805,-1.238172293,-1.498747468,1.1302948,-0.501225054,-1.661834121,-1.553920627,-0.357652068,0.028994523,-0.263462037,0.409864604,-1.174042225,-0.906069398,-0.498563439,-0.99385339,0.665860295,-1.200251102,0.076060355,-1.247554779,0.345593035,-0.730370224,-0.840400994,0.15794982,0.092526086,1.205843806,-0.489724636,0.308280915,0.468611062,-1.172424793,0.760034442,-0.833969593
54,6d,1.407365978,-0.213936105,0.514190137,1.069822311,-0.004233214,0.235550657,-0.480727017,-1.058968544,-0.301909387,0.37264812,-0.059286926,0.347058803,0.301018894,-1.343419433,0.710252523,-1.085069418,0.656999946,-1.617866516,0.327153742,1.611999154,-0.271835536,-0.470928371,-0.549153328,1.0127033,0.486637026,-0.8789891,1.317046285,1.771612525,0.327887326,-0.251221806,-1.207217336,0.445198119,-1.938870788,0.504560113,0.399858296,-0.694592595,2.871005774,-1.440057755,-1.117485404,-1.70456779,1.56560719,-1.078950405,-0.06696558,1.647768855,0.05346895,-1.768500566,-1.337876201,0.746855915,-0.79440695,0.068115897,-1.100833654,-1.81702733,0.770110011,-0.655939281,-0.188354701,1.231613278,-1.088716388,-0.102611884,0.552416563,1.918843269,-2.921833992,-0.455157995,-3.025985479,-1.358420014,2.308504105,-0.407984644,-2.909311771,-2.685018539,-0.308016151,1.071086645,-0.694383979,0.692849457,-1.585837364,-0.055909686,-0.959711552,-0.757653475,-0.587601125,-0.826297283,-0.309187472,-1.527892351,0.87405163,-1.46798861,-2.039277077,-0.091704592,-0.494369149,1.04837358,-0.489014834,-0.212558851,0.575621903,-3.220624208,1.065957785,-0.798257053
55,6mp,1.362330556,0.523332655,0.746717393,0.410651147,-0.262631714,-1.421942115,-0.173225254,-1.519040346,-0.165799856,0.445005864,-0.577139318,0.670987487,0.420488238,-2.633978128,1.189839005,-1.978447676,-0.136170521,-1.587370634,1.206913114,0.978357255,-0.544285297,-0.845199585,-0.448697865,2.339843512,0.095502526,-0.583964527,1.603152871,1.005300045,1.283716202,-0.228659809,-0.818501115,0.46527043,-1.812811017,1.475156903,-0.109510675,-1.077638626,1.897220016,-1.217992783,-0.938041925,-2.218979836,2.056229591,-1.005850077,-0.407417834,2.241862535,0.171079189,-1.303873181,-1.067474127,1.51173842,-0.498058826,-0.364847779,-1.827676654,-1.709238052,0.962823808,-0.673449993,0.257099897,1.495417714,-0.555849552,0.258869022,0.746517479,2.125317574,-2.435620785,0.34152782,-3.277330637,-0.880150259,2.196394205,0.021485576,-3.062738657,-1.989611387,0.041814178,1.92083168,-0.419878811,0.281619906,-1.300442219,0.491676003,-1.032723904,-0.36485213,-0.680894196,-0.012855498,-0.762675762,-1.074332118,0.531781495,-1.501437306,-1.353126884,-0.014229871,-1.130253077,1.743356824,-0.477099299,0.905682206,0.477871448,-3.418439627,0.614632368,-0.463963896
56,6v,1.315314651,-0.664480209,0.625153184,0.8320508,1.607099175,-0.709191859,-0.148172095,-0.156343803,0.274768025,-0.355707496,-0.509021163,-0.075837351,-0.720367908,0.880488753,0.005289413,0.445676863,1.02958262,-0.797986448,0.375748426,0.930689633,-0.825098693,-0.221825629,0.305538774,0.438138872,1.038683891,-0.210888088,0.374252766,-1.617407918,-0.580037177,0.52526325,-0.645682216,0.125219986,-1.410003901,1.049993157,-0.072310843,-0.299442679,2.458137512,-1.009377718,-0.646194994,-1.007763505,-0.357334524,-1.242962956,-0.118519299,-0.308549374,0.158669844,-1.473810434,-1.668589473,-0.882011712,-0.261943132,0.926160455,0.569592834,-0.263648033,0.195214584,-0.187443569,0.257206738,-0.410926819,-0.10423287,0.997752368,0.12799944,1.748498797,-1.209673882,-0.194735169,-1.245511889,-1.496556997,0.787991703,0.24623172,-1.893310666,-1.305047035,0.086586066,0.713487148,-0.345823705,0.541296065,-1.465000749,0.153625742,-0.465445966,-0.154313922,-0.242138132,-1.143081784,0.233437642,-0.935280502,0.547452986,-0.540782273,-1.735587597,-0.115268975,0.589941204,-0.290774852,-0.114695527,0.843617797,1.065351725,-1.294594288,0.830727339,0.182882205
57,p24pr,1.164071679,1.439620852,1.921650529,-0.94830668,-0.010620858,-1.527242899,1.674443722,-1.262627602,1.298065424,-0.241611198,0.127208591,0.468377233,0.891836524,1.09343648,1.317779899,-2.073696136,-1.703622937,0.214049011,1.248206496,0.885021985,-0.966378689,-1.046241283,0.673351765,1.153137684,-1.011009693,0.062886596,-1.112779975,0.193612859,0.575721443,1.307065964,-0.00500058,-0.68389833,-1.530333042,0.047278877,-0.879090369,-1.121342778,1.094101429,0.011936506,0.696723163,-2.010845423,0.266044408,0.326760858,-0.614780486,0.363381654,2.147676468,0.460449666,0.87812382,1.037305713,-0.619741499,-1.938020706,-1.447543502,0.052593958,-0.975236475,0.171642363,1.500443935,1.794044614,0.513763666,1.985145807,0.638747334,-0.054156899,0.006798597,0.351732224,-1.141117811,0.882814884,1.345245242,1.29563868,0.097157866,0.561322391,0.550314844,2.374361277,0.241439059,-0.94887656,0.214871034,1.491223216,-0.913438261,0.76677382,-1.899278402,1.033967853,-2.257178545,0.640215099,-0.758578598,-0.563587844,0.221928492,-0.379021645,-1.79884088,0.037289672,0.869365931,2.052971363,1.218833804,-0.026505208,-0.862160087,1.20397532
58,33pr,1.191926241,1.897017717,1.668178558,-0.780528426,-1.177432537,-1.756527185,2.061314821,-1.855919123,2.097971916,-0.319670886,0.489712983,0.554502189,0.702462971,1.461935997,0.861590445,-2.885966778,-0.658400953,-0.134754792,1.748585105,0.694176555,-0.894023299,-2.322946548,0.955103517,1.38124454,-1.344974637,-0.135459647,-2.166970253,0.157611623,0.46797058,1.205901384,0.203687012,-0.590375483,-1.181995511,-0.363083869,-1.31046629,-1.471740603,0.7088027,0.53037858,1.380861402,-2.115418434,-0.175557077,0.571292937,-1.735713601,-0.305357963,2.247758865,0.760705233,0.185024366,-0.229285002,-0.786846101,-1.678222656,-1.375014901,0.972196937,-1.230315089,0.358850956,1.340317488,1.32433641,0.101276092,1.906327724,0.954924583,-0.377789587,0.569920123,0.037933882,-0.792895913,1.135527134,0.938961029,1.979876518,1.261890531,1.268338084,0.868082941,3.237998009,0.070293933,-1.444452286,0.725772738,1.635923386,-1.423726797,1.236587763,-1.905238986,1.014002681,-2.636656523,0.643226206,-1.557584405,-0.420005411,0.417706221,-0.609699965,-1.780393362,-0.690543413,1.577147126,1.745077014,0.529472291,0.843306661,-1.393460512,1.642828703
59,a24pr,1.126796603,1.261907339,1.658104539,-1.230677485,-1.068167806,-1.709830999,1.990461469,-1.883391261,2.429322958,-0.701699197,0.706061304,0.07720916,0.272254795,0.465516716,1.326409578,-3.604826689,-0.219936863,-0.900016367,2.471730471,1.46551168,-0.99822104,-2.251873016,1.033791065,1.428038836,-1.44760716,0.992197633,-2.252180815,-0.447130799,0.777246654,1.302496433,0.213496253,-0.219744951,-0.833329082,-1.111248016,-1.65558064,-2.173281908,0.385482222,0.426102787,1.511171818,-1.869431973,-0.759405017,-0.062935784,-2.506141901,-0.992762327,2.386932611,0.623257577,-0.929950774,-0.96047014,-0.805135548,-1.536322355,-1.927393913,1.053087711,-0.921798527,0.772081554,1.551435471,0.692936063,-0.148864418,0.717057526,1.246637225,0.297156453,0.384029478,-0.059654482,-1.86681807,0.699347615,0.40895009,1.930374026,1.393307209,1.001767755,1.262663841,3.372624159,0.252676129,-2.394429684,0.85410583,1.855057955,-2.178628683,1.274752021,-2.98939085,0.911310256,-2.158862591,-0.046808198,-1.874450445,-0.256042391,1.020208597,-1.875018001,-1.247942448,-1.792253613,2.711910009,0.663571715,-0.670352042,0.383272797,-1.525131345,2.011049747
